video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Cytxob-IxYg&pp=ygUFV1dJSUk%3D,/channel/UC22gMfQuek7x6mdsoJ1qFSQ,grandson,grandson - WWIII [Official Audio],觀看次數：240萬次,3 年前,"Official audio for the song 'WWIII' from the debut album Death Of An Optimist, available now on Fueled By Ramen. Get it now at: ...",2024-01-16 23:44:25.779405
/watch?v=VyrHFiMPW1o&pp=ygUFV1dJSUk%3D,/channel/UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,Machine Gun Kelly -  WWIII (Official Audio),觀看次數：205萬次,3 年前,#MGK #TicketsToMyDownfall #WWIII.,2024-01-16 23:44:25.792062
/watch?v=R8jWgJingW8&pp=ygUFV1dJSUk%3D,/channel/UC5rzm7Jbxk3u2q6hsGRUh8w,HAARPER,WWIII,觀看次數：330萬次,3 年前,HAARPER - WWIII [PROD. RYAN C] SUPPORT MY MUSIC BY LISTENING TO IT ON SPOTIFY & APPLE MUSIC Girl in the photo: ...,2024-01-16 23:44:25.799355
/watch?v=Wfb5mlCjH4A&pp=ygUFV1dJSUk%3D,/@thehill,The Hill,Will China’s Xi Jinping Start WWIII With Taiwan Invasion?,觀看次數：1.9萬次,2 週前,"YouTube host and geopolitical expert Hagar Chemali weighs in on the escalating tension between China and Taiwan, and how ...",2024-01-16 23:44:25.804527
/watch?v=f0b-s5WGLw4&pp=ygUFV1dJSUk%3D,/channel/UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,Machine Gun Kelly - WWIII (Official Visualizer),觀看次數：39萬次,3 年前,#MGK #TicketsToMyDownfall #WWIII.,2024-01-16 23:44:25.813467
/watch?v=LApG4HC1s9o&pp=ygUFV1dJSUk%3D,/@FoxBusiness,Fox Business,Leaked docs reveal world leaders are preparing for Russia to launch World War 3: report,觀看次數：11萬次,8 小時前,"Rep. Pat Fallon, R-Texas, discusses the ongoing Ukraine war as leaked German classified documents claim that Russia is ...",2024-01-16 23:44:25.815871
/shorts/8HqZz1YVsjs,/@HenryBelcaster,Henry Belcaster,The man who stopped WWIII,觀看次數：645萬次,1 個月前,Get more free history lessons on https://www.smartnonsense.com/,2024-01-16 23:44:25.819052
/watch?v=2GspkteOZIk&pp=ygUFV1dJSUk%3D,/@FoxBusiness,Fox Business,Expert on whether US is on brink of WWIII: 'Feels like we're in the 1930s',觀看次數：8.2萬次,2 個月前,Former Ambassador-at-Large Nathan Sales on how long the Israel war could last and discusses the global unrest. Subscribe to ...,2024-01-16 23:44:25.829102
/watch?v=w7jTIP5pj0o&pp=ygUFV1dJSUk%3D,/@charlierose,Charlie Rose,What Would Trigger WWIII? | Bret Stephens,觀看次數：5658次,5 天前,"The NYT columnist pictures what World War III looks like. This conversation aired on Jan 11, 2024, at charlierose.com.",2024-01-16 23:44:25.831526
/watch?v=f709fmeZZ1A&pp=ygUFV1dJSUk%3D,/channel/UC22gMfQuek7x6mdsoJ1qFSQ,grandson,grandson - WWIII [Performance from Death Of An Optimist: The Movie],觀看次數：37萬次,3 年前,This is a performance of WWIII from Death Of An Optimist: The Movie Death Of An Optimist: The Movie pulls back the curtain on ...,2024-01-16 23:44:25.843405
/watch?v=KiZaYuzlXeU&pp=ygUFV1dJSUk%3D,/@TheInfographicsShow,The Infographics Show,These Countries Will Be Destroyed in WW3,觀看次數：45萬次,3 個月前,"If you live in one of these countries during World War 3, prepare for a horrible time because the place you call ""Home"" might ...",2024-01-16 23:44:25.845308
/watch?v=zDuV2Lj6KQc&pp=ygUFV1dJSUk%3D,/@thehill,The Hill,Israel DRAGGING U.S. Into WWIII?! Biden Says He WOULD Join IDF WAR Against Hezbollah: Report,觀看次數：17萬次,2 個月前,"Trita Parsi, the executive vice president of the Quincy Institute for Responsible Statecraft, explains what's at stake in the Israel and ...",2024-01-16 23:44:25.847054
/shorts/osqOtK1oLT0,/@TacticonArmament,Tacticon Armament,Convincing friends to get ready for WWIII...  #shorts,觀看次數：56萬次,8 個月前,shorts #tacticon #tacticonarmament #pewpew #2amendment #2ndamendment #secondamendment #foryou #foryoupage #2a.,2024-01-16 23:44:25.848672
/watch?v=OagYlYna75Y&pp=ygUFV1dJSUk%3D,/@ZeihanonGeopolitics,Zeihan on Geopolitics,Gaza and Israel: The Start of WWIII or an Isolated Conflict? || Peter Zeihan,觀看次數：121萬次,2 個月前,"We've all been following the events unfolding in Israel and Gaza, and questions of this triggering a larger conflict are starting to ...",2024-01-16 23:44:25.853444
/watch?v=SuMmqdlYWfQ&pp=ygUFV1dJSUk%3D,/@TheInfographicsShow,The Infographics Show,Canada's WWIII Plan,觀看次數：44萬次,6 個月前,"Canada is in serious trouble if a new world war breaks out, and the US won't be able to bail out its neighbor to the North!",2024-01-16 23:44:25.862720
/watch?v=Tynr92LM_gI&pp=ygUFV1dJSUk%3D,/@TheInfographicsShow,The Infographics Show,What Countries Would Look Like After WW3,觀看次數：248萬次,7 個月前,"The next world war will be an all-out battle involving every country and depending on who comes out on top, the world you know ...",2024-01-16 23:44:25.864920
/shorts/xHMh-riM8K0,/@HowToSurviveShow,How to Survive,Why WWIII Can Be the End #Shorts,觀看次數：4.9萬次,1 年前,It looks like we may be headed this way. Is World War III on the horizon? And could this really be the war to end all wars?,2024-01-16 23:44:25.867186
/watch?v=FMrqlo_L-gY&pp=ygUFV1dJSUk%3D,/channel/UCI4fJYWKcGa8MvnvLw0qysQ,WORLD ORDER,"WORLD ORDER  ""LET'S START WW3”",觀看次數：992萬次,5 年前,Members of WORLD ORDER GENKI SUDO/AKIHIRO TAKAHASHI/HAYATO UCHIYAMA/YUSUKE MORISAWA/TAKASHI ...,2024-01-16 23:44:25.878897
/watch?v=HcMq7j1jOas&pp=ygUFV1dJSUk%3D,/@IGN,IGN,World War 3 - Official Tokyo Map Reveal Trailer,觀看次數：7.3萬次,9 個月前,World War 3 is an online multiplayer tactical FPS set against the backdrop of a modern global conflict. As part of World War 3's ...,2024-01-16 23:44:32.987418
/shorts/eNL37XYu0Lk,/@YahooFinance,Yahoo Finance,NYU Professor Nouriel Roubini: ‘World War III has already started’,觀看次數：12萬次,1 年前,shorts #nourielroubini #yahoofinance NYU Professor Nouriel Roubini spoke at the 2022 Yahoo Finance All Markets Summit on ...,2024-01-16 23:44:32.989087
/watch?v=KhU9fol5PLg&pp=ygUFV1dJSUk%3D,/@TheMajorityReport,The Majority Report w/ Sam Seder,Are We Already In World War 3?,觀看次數：11萬次,1 個月前,#SamSeder #EmmaVigeland #MajorityReport #politics #news #progressive #leftist #democrats #liberal SUPPORT the show by ...,2024-01-16 23:44:32.990698
/watch?v=CCIyFmMjNL0&pp=ygUFV1dJSUk%3D,/@uncvrd,UNCVRD,grandson - WWIII (Lyrics),觀看次數：25萬次,3 年前,Lyrics for grandson - WWIII :) [Chorus] Tell me what I'm supposed to think When the bullets start to pour Lie about some greater ...,2024-01-16 23:44:32.992382
/watch?v=dDX_0Rel3t0&pp=ygUFV1dJSUk%3D,/channel/UCXc-hFBjZWFtwrIK91vHB8A,Ruth B.,Ruth B. - World War 3 (Audio),觀看次數：157萬次,6 年前,"Ruth B.'s debut album 'Safe Haven' ft. ""Superficial Love"" & ""Lost Boy"" is available now!: http://smarturl.it/safehavenruthb Follow ...",2024-01-16 23:44:32.993923
/watch?v=85SJ2Oj1RWE&pp=ygUFV1dJSUk%3D,/@ScorpoYT,Scorpo,WORLD WAR III Trailer,觀看次數：60萬次,4 個月前,Most Peaceful Day On EARTH! ▻MERCH: https://my-store-5193770.creator-spring.com ▻Patreon: ...,2024-01-16 23:44:32.995384
/watch?v=JkQG2PBQ_48&pp=ygUFV1dJSUk%3D,/@ForbesBreakingNews,Forbes Breaking News,JUST IN: Trump Warns 'World War III Has Never Been Closer',觀看次數：286萬次,10 個月前,"In a video released to social media, former President Trump warned of the threat of World War III, and detailed a plan to battle ...",2024-01-16 23:44:32.996794
/watch?v=SRa3vZ6R93I&pp=ygUFV1dJSUk%3D,/@TemplinInstitute,The Templin Institute,World War Three | World in Conflict,觀看次數：24萬次,6 個月前,"In 1989, the Cold War was supposed to end. It didn't. The Templin Institute. Investigating alternate worlds. New episodes every ...",2024-01-16 23:44:32.999199
/watch?v=3y4iMT4nasY&pp=ygUFV1dJSUk%3D,/@AnnafromUkraine,Anna from Ukraine,IS IT WORLD WAR III ALREADY? Q&A with @AnnafromUkraine,觀看次數：1.6萬次,直播時間：3 天前,You can always buy me a coffee for more video projects to come: ☕️ https://www.buymeacoffee.com/AnnafromUkraine or ...,2024-01-16 23:44:33.000738
/watch?v=vYmgZJG9SdQ&pp=ygUFV1dJSUk%3D,/@TheInfographicsShow,The Infographics Show,Least Safe Countries If World War 3 Breaks Out,觀看次數：170萬次,5 個月前,"The next world war will be a battle that will span across the entire globe, but there will be some locations more dangerous than ...",2024-01-16 23:44:33.002094
/watch?v=ysgzR2jMwNE&pp=ygUFV1dJSUk%3D,/@gamespot,GameSpot,World War 3 - Announcement Trailer,觀看次數：399萬次,5 年前,"World War 3 is a multiplayer military FPS set in a modern, global conflict. Coming to Steam in Fall 2018.",2024-01-16 23:44:33.003473
